2016-10-25 9:54:34 412553950 114.525787 30.679223 114.525803 30.679338 0.1 275.8 
2016-10-25 9:56:23 412553950 114.525787 30.679223 114.525787 30.679223 0.1 275.8 
2016-10-25 9:57:12 412553950 114.525768 30.679217 114.525787 30.679223 0.1 132.7 
2016-10-25 10:00:25 412553950 114.525847 30.679332 114.525768 30.679217 0.1 10.0 
2016-10-25 10:03:16 412553950 114.52583 30.679347 114.525847 30.679332 0.0 255.6 
2016-10-25 10:06:44 412553950 114.525812 30.679232 114.52583 30.679347 0.0 143.7 
2016-10-25 10:08:36 412553950 114.525812 30.679232 114.525812 30.679232 0.0 143.7 
2016-10-25 10:12:32 412553950 114.52584 30.679262 114.525812 30.679232 0.1 48.3 
2016-10-25 10:14:41 412553950 114.52584 30.679262 114.52584 30.679262 0.1 48.3 
2016-10-25 10:15:14 412553950 114.525858 30.679338 114.52584 30.679262 0.1 266.0 
2016-10-25 10:26:58 412553950 114.525812 30.679263 114.525812 30.679263 0.1 47.3 
2016-10-25 10:27:39 412553950 114.525832 30.679247 114.525812 30.679263 0.1 202.1 
2016-10-25 10:30:24 412553950 114.52571 30.679243 114.525832 30.679247 0.1 203.4 
2016-10-25 10:33:34 412553950 114.525858 30.679342 114.52571 30.679243 0.2 30.2 
2016-10-25 10:36:45 412553950 114.525822 30.67936 114.525858 30.679342 0.2 202.2 
2016-10-25 10:38:16 412553950 114.525822 30.67936 114.525822 30.67936 0.2 202.2 
2016-10-25 10:39:21 412553950 114.52579 30.67925 114.525822 30.67936 0.1 287.1 
2016-10-25 10:42:49 412553950 114.525782 30.679195 114.52579 30.67925 0.2 27.5 
2016-10-25 10:44:44 412553950 114.525782 30.679195 114.525782 30.679195 0.2 27.5 
2016-10-25 10:45:35 412553950 114.525832 30.6793 114.525782 30.679195 0.1 90.2 
2016-10-25 10:50:19 412553950 114.525832 30.6793 114.525832 30.6793 0.1 90.2 
2016-10-25 10:51:17 412553950 114.525823 30.679168 114.525832 30.6793 0.0 206.9 
2016-10-25 10:54:52 412553950 114.525795 30.679175 114.525823 30.679168 0.1 106.9 
2016-10-25 10:57:37 412553950 114.525805 30.679263 114.525795 30.679175 0.0 33.1 
2016-10-25 11:06:28 412553950 114.525822 30.679275 114.525712 30.679263 0.1 336.6 
2016-10-25 11:08:50 412553950 114.525822 30.679275 114.525822 30.679275 0.1 336.6 
2016-10-25 11:09:22 412553950 114.525862 30.679295 114.525822 30.679275 0.1 148.9 
2016-10-25 11:14:52 412553950 114.525862 30.679295 114.525862 30.679295 0.1 148.9 
2016-10-25 11:15:26 412553950 114.525868 30.679292 114.525862 30.679295 0.0 343.4 
2016-10-25 11:24:49 412553950 114.525847 30.679243 114.52583 30.679258 0.1 163.2 
2016-10-25 11:27:26 412553950 114.525825 30.679205 114.525847 30.679243 0.1 212.6 
2016-10-25 11:39:32 412553950 114.525842 30.679263 114.525803 30.67922 0.0 320.0 
2016-10-25 11:42:16 412553950 114.525823 30.67925 114.525842 30.679263 0.1 175.7 
2016-10-25 11:45:52 412553950 114.52584 30.67924 114.525823 30.67925 0.1 348.6 
2016-10-25 11:48:42 412553950 114.525772 30.679317 114.52584 30.67924 0.0 318.2 
2016-10-25 11:50:32 412553950 114.525772 30.679317 114.525772 30.679317 0.0 318.2 
2016-10-25 11:51:14 412553950 114.525855 30.67925 114.525772 30.679317 0.0  
2016-10-25 11:54:24 412553950 114.525812 30.679277 114.525855 30.67925 0.0 26.3 
