2016-10-17 13:18:06 413858056 114.545783 30.666267 114.545783 30.666267 0.0 184.8 184.0
2016-10-17 13:21:45 413858056 114.5458 30.666267 114.545783 30.666267 0.0 274.8 274.0
2016-10-17 13:23:33 413858056 114.545783 30.666267 114.5458 30.666267 0.0 274.7 274.0
2016-10-17 13:26:16 413858056 114.545817 30.66625 114.545783 30.666267 0.0 326.8 326.0
2016-10-17 13:27:10 413858056 114.545817 30.66625 114.545817 30.66625 0.0 334.4 334.0
2016-10-17 13:28:25 413858056 114.545817 30.66625 114.545817 30.66625 0.0 354.5 354.0
2016-10-17 13:30:40 413858056 114.545833 30.666283 114.545817 30.66625 0.0 30.8 30.0
2016-10-17 13:32:31 413858056 114.545817 30.666267 114.545833 30.666283 0.0 179.9 179.0
2016-10-17 13:33:27 413858056 114.545817 30.666267 114.545817 30.666267 0.0 140.5 140.0
2016-10-17 13:37:00 413858056 114.5458 30.666233 114.545817 30.666267 0.0 267.5 267.0
2016-10-17 13:38:24 413858056 114.545817 30.66625 114.5458 30.666233 0.0 92.3 92.0
2016-10-17 13:39:45 413858056 114.545817 30.666267 114.545817 30.66625 0.0 95.4 95.0
2016-10-17 13:40:17 413858056 114.545817 30.666267 114.545817 30.666267 0.0 166.7 166.0
2016-10-17 13:41:33 413858056 114.545817 30.666267 114.545817 30.666267 0.0 71.5 71.0
2016-10-17 13:46:46 413858056 114.545783 30.66625 114.545817 30.666267 0.0 90.3 90.0
2016-10-17 13:57:48 413858056 114.5458 30.666267 114.545833 30.666283 0.0 51.4 51.0
2016-10-17 14:00:21 413858056 114.5458 30.666267 114.5458 30.666267 0.0 239.5 239.0
2016-10-17 14:03:56 413858056 114.545783 30.666283 114.5458 30.666267 0.0 32.3 32.0
2016-10-17 14:08:45 413858056 114.545833 30.666283 114.545783 30.666283 0.0 32.8 32.0
2016-10-17 14:09:21 413858056 114.545817 30.666283 114.545833 30.666283 0.0 37.5 37.0
2016-10-17 14:11:08 413858056 114.545833 30.666283 114.545817 30.666283 0.0 44.6 44.0
2016-10-17 14:12:29 413858056 114.545833 30.666283 114.545833 30.666283 0.0 42.3 42.0
2016-10-17 14:13:31 413858056 114.545817 30.666267 114.545833 30.666283 0.0 45.0 45.0
2016-10-17 14:17:43 413858056 114.545833 30.666283 114.545817 30.666267 0.0 46.9 46.0
2016-10-17 14:21:11 413858056 114.545767 30.66625 114.545833 30.666283 0.0 54.9 54.0
2016-10-17 14:22:03 413858056 114.545783 30.66625 114.545767 30.66625 0.0 53.1 53.0
2016-10-17 14:23:56 413858056 114.5458 30.66625 114.545783 30.66625 0.0 53.0 53.0
2016-10-17 14:26:58 413858056 114.545767 30.666233 114.5458 30.66625 0.0 55.9 55.0
2016-10-17 14:30:11 413858056 114.545733 30.666233 114.545767 30.666233 0.0 62.5 62.0
2016-10-17 14:31:12 413858056 114.545767 30.666233 114.545733 30.666233 0.0 47.9 47.0
2016-10-17 14:35:52 413858056 114.5458 30.666233 114.545767 30.666233 0.0 44.6 44.0
2016-10-17 14:44:38 413858056 114.5458 30.66625 114.545767 30.666233 0.0 35.2 35.0
2016-10-17 15:19:16 413858056 114.545817 30.666217 114.545817 30.666217 0.0 144.0 144.0
