2016-10-21 21:57:20 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:57:38 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:58:13 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:59:00 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:59:24 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:59:44 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:59:59 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 22:00:15 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 22:01:05 413829178 114.40005 30.654583 114.40005 30.654567 0.0 267.2 
2016-10-21 22:01:20 413829178 114.400033 30.654583 114.40005 30.654583 0.0 267.2 
2016-10-21 22:01:40 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:01:59 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:02:18 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:02:34 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:02:58 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:03:15 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:03:28 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:04:03 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:04:40 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:04:58 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:05:16 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:05:32 413829178 114.400033 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:05:45 413829178 114.400017 30.654583 114.400033 30.654583 0.0 267.2 
2016-10-21 22:06:00 413829178 114.400017 30.654583 114.400017 30.654583 0.0 267.2 
2016-10-21 22:06:24 413829178 114.400017 30.654583 114.400017 30.654583 0.0 267.2 
2016-10-21 22:06:42 413829178 114.400017 30.654583 114.400017 30.654583 0.0 267.2 
2016-10-21 22:06:56 413829178 114.400017 30.654583 114.400017 30.654583 0.0 267.2 
2016-10-21 22:07:12 413829178 114.400017 30.654583 114.400017 30.654583 0.0 267.2 
2016-10-21 22:07:28 413829178 114.400017 30.654583 114.400017 30.654583 0.0 267.2 
2016-10-21 22:07:48 413829178 114.400017 30.654583 114.400017 30.654583 0.0 267.2 
2016-10-21 22:08:03 413829178 114.400017 30.654583 114.400017 30.654583 0.0 267.2 
2016-10-21 22:08:19 413829178 114.400017 30.654583 114.400017 30.654583 0.0 267.2 
2016-10-21 22:08:38 413829178 114.400017 30.654583 114.400017 30.654583 0.0 267.2 
2016-10-21 22:08:56 413829178 114.400017 30.654567 114.400017 30.654583 0.0 267.2 
2016-10-21 22:09:12 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:09:47 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:10:04 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:10:36 413829178 114.400033 30.654583 114.400017 30.654567 0.0 267.2 
2016-10-21 22:10:58 413829178 114.400033 30.654567 114.400033 30.654583 0.0 267.2 
2016-10-21 22:11:18 413829178 114.400033 30.654567 114.400033 30.654567 0.0 267.2 
2016-10-21 22:11:36 413829178 114.400033 30.654567 114.400033 30.654567 0.0 267.2 
2016-10-21 22:12:13 413829178 114.400017 30.654567 114.400033 30.654567 0.0 267.2 
2016-10-21 22:12:48 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:13:03 413829178 114.400033 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:13:33 413829178 114.400033 30.654567 114.400033 30.654567 0.0 267.2 
2016-10-21 22:14:04 413829178 114.400033 30.654567 114.400033 30.654567 0.0 267.2 
2016-10-21 22:14:21 413829178 114.400017 30.654567 114.400033 30.654567 0.0 267.2 
2016-10-21 22:14:39 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:14:56 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:15:14 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:15:36 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:15:51 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:16:08 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:16:25 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:17:02 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:17:19 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:17:34 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:17:53 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:18:24 413829178 114.400017 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:18:56 413829178 114.400033 30.654567 114.400017 30.654567 0.0 267.2 
2016-10-21 22:19:13 413829178 114.400033 30.654567 114.400033 30.654567 0.0 267.2 
